,totalenrolled,white,black,hispanic,lowincome,dropout,year,charter,hybridper,virtualper,schoolmode,schoolcode,countycode,districtcode,state
134,104,98.1,0.0,0.0,55.8,0.0,2018,0,0.0,0.0,0.0,110230030260001il,11023il,11023003il,il
135,106,99.1,0.0,0.9,48.1,0.0,2017,0,0.0,0.0,0.0,110230030260001il,11023il,11023003il,il
136,97,93.8,0.0,0.0,43.3,2.3,2021,0,0.0909,0.0,0.1364,110230060260001il,11023il,11023006il,il
137,100,94.0,1.0,2.0,38.0,4.7,2019,0,0.0,0.0,0.0,110230060260001il,11023il,11023006il,il
138,96,97.9,0.0,0.0,33.3,1.0,2018,0,0.0,0.0,0.0,110230060260001il,11023il,11023006il,il
139,98,100.0,0.0,0.0,22.4,0.0,2017,0,0.0,0.0,0.0,110230060260001il,11023il,11023006il,il
140,529,95.1,0.0,0.0,43.1,2.6,2021,0,0.0,0.0,0.0909,110238000800001il,11023il,11023800il,il
141,559,95.0,0.0,0.9,43.5,4.5,2019,0,0.0,0.0,0.0,110238000800001il,11023il,11023800il,il
142,580,96.7,0.0,0.0,30.7,1.9,2018,0,0.0,0.0,0.0,110238000800001il,11023il,11023800il,il
143,616,97.2,0.0,1.1,41.7,0.8,2017,0,0.0,0.0,0.0,110238000800001il,11023il,11023800il,il
144,303,93.4,0.0,0.0,37.3,2.1,2021,0,0.4545,0.0,0.3182,110703000260004il,11070il,11070300il,il
145,304,94.1,0.7,1.6,39.1,2.5,2019,0,0.0,0.0,0.0,110703000260004il,11070il,11070300il,il
146,328,94.8,0.0,0.0,40.2,0.3,2018,0,0.0,0.0,0.0,110703000260004il,11070il,11070300il,il
147,318,93.4,0.6,2.5,41.2,0.6,2017,0,0.0,0.0,0.0,110703000260004il,11070il,11070300il,il
148,164,97.0,0.0,0.0,36.6,2.5,2021,0,0.4545,0.0,0.3182,110703020260001il,11070il,11070302il,il
149,157,96.2,0.0,0.0,43.3,3.3,2019,0,0.0,0.0,0.0,110703020260001il,11070il,11070302il,il
150,169,96.4,0.0,0.0,40.2,0.6,2018,0,0.0,0.0,0.0,110703020260001il,11070il,11070302il,il
151,163,97.5,0.0,0.0,36.8,0.6,2017,0,0.0,0.0,0.0,110703020260001il,11070il,11070302il,il
152,144,96.5,0.0,0.0,29.2,4.3,2021,0,0.0909,0.0,0.1364,110870010260002il,11087il,11087001il,il
153,145,97.9,0.0,0.0,40.0,5.5,2019,0,0.0,0.0,0.0,110870010260002il,11087il,11087001il,il
154,153,98.0,0.0,0.0,32.0,0.0,2018,0,0.0,0.0,0.0,110870010260002il,11087il,11087001il,il
155,148,99.3,0.0,0.0,36.5,0.0,2017,0,0.0,0.0,0.0,110870010260002il,11087il,11087001il,il
156,183,98.9,0.0,0.0,66.7,2.9,2021,0,0.0,0.0,0.0909,11087003A260001il,11087il,11087003il,il
157,211,99.5,0.0,0.5,64.0,2.5,2019,0,0.0,0.0,0.0,11087003A260001il,11087il,11087003il,il
158,205,99.5,0.0,0.0,62.0,0.0,2018,0,0.0,0.0,0.0,11087003A260001il,11087il,11087003il,il
159,210,99.5,0.0,0.5,66.2,1.9,2017,0,0.0,0.0,0.0,11087003A260001il,11087il,11087003il,il
160,348,95.4,0.0,0.0,38.5,2.3,2021,0,0.0,0.0,0.0,110870040260001il,11087il,11087004il,il
161,312,96.2,0.3,1.9,41.7,3.2,2019,0,0.0,0.0,0.0,110870040260001il,11087il,11087004il,il
162,323,97.8,0.0,0.0,39.6,0.6,2018,0,0.0,0.0,0.0,110870040260001il,11087il,11087004il,il
163,323,98.1,0.0,0.6,33.1,1.2,2017,0,0.0,0.0,0.0,110870040260001il,11087il,11087004il,il
164,122,99.2,0.0,0.0,30.3,1.6,2021,0,0.0909,0.0,0.1364,11087005A260001il,11087il,11087005il,il
