,totaltested,mathpass,white,black,hispanic,lowincome,charter,year,hybridper,virtualper,schoolmode,schoolcode,countycode,districtcode,state
213,87,42.5,90.8,0.0,0.0,21.84,0,2019,0.0,0.0,0.0,130140030260006il,1301il,13014003026il,il
214,103,47.5,86.41,0.0,0.0,27.18,0,2018,0.0,0.0,0.0,130140030260006il,1301il,13014003026il,il
215,99,39.2,89.9,6.06,3.03,24.24,0,2017,0.0,0.0,0.0,130140030260006il,1301il,13014003026il,il
216,159,34.6,92.45,0.0,6.92,17.61,0,2021,0.0,0.0,0.0909,130140710160001il,1301il,13014071016il,il
217,136,42.2,98.53,0.0,0.0,17.65,0,2019,0.0,0.0,0.0,130140710160001il,1301il,13014071016il,il
218,134,47.7,97.01,0.0,0.0,19.4,0,2018,0.0,0.0,0.0,130140710160001il,1301il,13014071016il,il
219,153,47.4,94.12,5.88,0.0,5.88,0,2017,0.0,0.0,0.0,130140710160001il,1301il,13014071016il,il
220,33,21.2,90.91,0.0,0.0,39.39,0,2021,0.6364,0.0,0.4091,130410010260001il,1304il,13041001026il,il
221,31,12.9,100.0,0.0,0.0,0.0,0,2019,0.0,0.0,0.0,130410010260001il,1304il,13041001026il,il
222,22,0.0,95.45,0.0,0.0,0.0,0,2018,0.0,0.0,0.0,130410010260001il,1304il,13041001026il,il
223,26,11.5,100.0,0.0,0.0,46.15,0,2017,0.0,0.0,0.0,130410010260001il,1304il,13041001026il,il
224,240,12.9,73.75,9.17,7.08,47.5,0,2021,0.9091,0.0,0.5455,130412010170001il,1304il,13041201017il,il
225,263,20.3,71.1,16.35,3.8,55.13,0,2019,0.0,0.0,0.0,130412010170001il,1304il,13041201017il,il
