,year,schoolcode,dropout,districtcode,countycode,lowincome,white,black,hispanic,state,totalenrolled,schoolmode,virtualper,schoolmode,hybridper,charter
202,2019,42302040003nyc,0.0,423020nyc,423nyc,55,95,1,1,nyc,284,0.0,0.0,0.0,0.0,0
203,2021,42302040003nyc,1.0,423020nyc,423nyc,51,94,1,1,nyc,268,0.48,0.0,0.48,0.96,0
205,2017,42400010013nyc,9.0,424000nyc,424nyc,55,83,6,3,nyc,614,0.0,0.0,0.0,0.0,0
206,2018,42400010013nyc,10.0,424000nyc,424nyc,55,83,6,2,nyc,615,0.0,0.0,0.0,0.0,0
207,2019,42400010013nyc,5.0,424000nyc,424nyc,48,83,6,3,nyc,589,0.0,0.0,0.0,0.0,0
208,2021,42400010013nyc,7.0,424000nyc,424nyc,49,81,6,3,nyc,587,0.22,0.04,0.22,0.36,0
210,2017,42801060006nyc,11.0,428010nyc,428nyc,64,69,1,2,nyc,383,0.0,0.0,0.0,0.0,0
211,2018,42801060006nyc,9.0,428010nyc,428nyc,66,67,1,4,nyc,374,0.0,0.0,0.0,0.0,0
212,2019,42801060006nyc,9.0,428010nyc,428nyc,61,64,0,4,nyc,344,0.0,0.0,0.0,0.0,0
213,2021,42801060006nyc,7.0,428010nyc,428nyc,48,66,0,5,nyc,294,0.5,0.08,0.5,0.84,0
215,2017,42901040002nyc,3.0,429010nyc,429nyc,43,96,1,1,nyc,290,0.0,0.0,0.0,0.0,0
216,2018,42901040002nyc,8.0,429010nyc,429nyc,43,96,0,1,nyc,297,0.0,0.0,0.0,0.0,0
217,2019,42901040002nyc,5.0,429010nyc,429nyc,43,96,0,1,nyc,311,0.0,0.0,0.0,0.0,0
218,2021,42901040002nyc,2.0,429010nyc,429nyc,39,95,0,1,nyc,329,0.0,0.0,0.0,0.0,0
220,2017,43001040002nyc,2.0,430010nyc,430nyc,53,90,0,3,nyc,280,0.0,0.0,0.0,0.0,0
221,2018,43001040002nyc,6.0,430010nyc,430nyc,53,89,0,3,nyc,259,0.0,0.0,0.0,0.0,0
222,2019,43001040002nyc,6.0,430010nyc,430nyc,48,89,0,3,nyc,236,0.0,0.0,0.0,0.0,0
223,2021,43001040002nyc,2.0,430010nyc,430nyc,50,87,1,3,nyc,248,0.44,0.0,0.44,0.88,0
229,2017,43200050002nyc,3.0,432000nyc,432nyc,62,55,2,3,nyc,305,0.0,0.0,0.0,0.0,0
230,2018,43200050002nyc,6.0,432000nyc,432nyc,64,53,1,4,nyc,278,0.0,0.0,0.0,0.0,0
231,2019,43200050002nyc,6.0,432000nyc,432nyc,64,53,1,3,nyc,312,0.0,0.0,0.0,0.0,0
232,2021,43200050002nyc,0.0,432000nyc,432nyc,55,51,1,6,nyc,344,0.46,0.08,0.46,0.76,0
234,2017,43501060006nyc,6.0,435010nyc,435nyc,52,97,1,1,nyc,727,0.0,0.0,0.0,0.0,0
235,2018,43501060006nyc,3.0,435010nyc,435nyc,51,96,1,1,nyc,718,0.0,0.0,0.0,0.0,0
236,2019,43501060006nyc,4.0,435010nyc,435nyc,50,95,1,2,nyc,735,0.0,0.0,0.0,0.0,0
237,2021,43501060006nyc,5.0,435010nyc,435nyc,48,96,0,2,nyc,675,0.44,0.0,0.44,0.88,0
239,2017,50100010013nyc,10.0,501000nyc,501nyc,49,80,10,3,nyc,1272,0.0,0.0,0.0,0.0,0
240,2018,50100010013nyc,13.0,501000nyc,501nyc,47,80,10,4,nyc,1205,0.0,0.0,0.0,0.0,0
241,2019,50100010013nyc,17.0,501000nyc,501nyc,46,79,8,4,nyc,1163,0.0,0.0,0.0,0.0,0
242,2021,50100010013nyc,7.0,501000nyc,501nyc,51,79,6,5,nyc,1217,0.46,0.0,0.46,0.92,0
244,2017,50301040002nyc,5.0,503010nyc,503nyc,29,91,1,2,nyc,262,0.0,0.0,0.0,0.0,0
