,schoolcode,districtcode,countycode,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,state
154,131301040002,13130104nyc,13nyc,2018,0.0,81,0.0,0.0,0.0,73,32.8767,84.9315,0.0,13.6986,nyc
155,131301040002,13130104nyc,13nyc,2019,0.0,95,0.0,0.0,0.0,81,28.3951,82.716,2.4691,11.1111,nyc
156,131301040002,13130104nyc,13nyc,2021,0.0,90,0.52,0.12,0.8,41,34.1463,85.3659,0.0,12.1951,nyc
157,131500010010,13150001nyc,13nyc,2017,0.0,69,0.0,0.0,0.0,311,75.2412,9.6463,59.8071,25.0804,nyc
158,131500010010,13150001nyc,13nyc,2018,0.0,49,0.0,0.0,0.0,272,81.9853,5.5147,62.1324,27.2059,nyc
159,131500010010,13150001nyc,13nyc,2019,0.0,68,0.0,0.0,0.0,350,71.1429,7.4286,56.8571,32.8571,nyc
160,131500010010,13150001nyc,13nyc,2021,0.0,89,0.58,0.2,0.76,57,47.3684,3.5088,50.8772,31.5789,nyc
161,131601060008,13160106nyc,13nyc,2017,0.0,96,0.0,0.0,0.0,836,23.8038,75.7177,8.4928,9.689,nyc
162,131601060008,13160106nyc,13nyc,2018,0.0,88,0.0,0.0,0.0,687,23.4352,72.7802,9.607,12.2271,nyc
163,131601060008,13160106nyc,13nyc,2019,0.0,93,0.0,0.0,0.0,770,22.8571,71.4286,8.0519,14.2857,nyc
164,131601060008,13160106nyc,13nyc,2021,0.0,38,0.52,0.08,0.88,8,75.0,12.5,0.0,75.0,nyc
165,131602020005,13160202nyc,13nyc,2017,0.0,95,0.0,0.0,0.0,137,19.708,64.2336,9.4891,9.4891,nyc
166,131602020005,13160202nyc,13nyc,2018,0.0,94,0.0,0.0,0.0,127,21.2598,66.9291,14.9606,5.5118,nyc
167,131602020005,13160202nyc,13nyc,2019,0.0,98,0.0,0.0,0.0,104,29.8077,58.6538,10.5769,12.5,nyc
168,131602020005,13160202nyc,13nyc,2021,0.0,97,0.54,0.12,0.84,34,11.7647,73.5294,5.8824,5.8824,nyc
169,131701060002,13170106nyc,13nyc,2017,0.0,97,0.0,0.0,0.0,167,17.3653,87.4251,2.3952,7.7844,nyc
170,131701060002,13170106nyc,13nyc,2018,0.0,92,0.0,0.0,0.0,172,26.1628,87.7907,2.3256,6.3953,nyc
171,131701060002,13170106nyc,13nyc,2019,0.0,93,0.0,0.0,0.0,163,33.7423,82.8221,2.454,11.0429,nyc
172,131701060002,13170106nyc,13nyc,2021,0.0,0,0.52,0.08,0.88,3,33.3333,100.0,0.0,0.0,nyc
173,131801040001,13180104nyc,13nyc,2017,0.0,93,0.0,0.0,0.0,112,16.9643,83.9286,4.4643,4.4643,nyc
174,131801040001,13180104nyc,13nyc,2018,0.0,94,0.0,0.0,0.0,107,20.5607,89.7196,0.0,6.5421,nyc
175,131801040001,13180104nyc,13nyc,2019,0.0,89,0.0,0.0,0.0,70,22.8571,88.5714,2.8571,7.1429,nyc
176,131801040001,13180104nyc,13nyc,2021,0.0,100,0.52,0.08,0.88,13,7.6923,84.6154,0.0,15.3846,nyc
177,132101060011,13210106nyc,13nyc,2017,0.0,91,0.0,0.0,0.0,448,27.9018,67.4107,7.3661,17.1875,nyc
178,132101060011,13210106nyc,13nyc,2018,0.0,80,0.0,0.0,0.0,462,32.2511,60.3896,10.8225,22.5108,nyc
179,132101060011,13210106nyc,13nyc,2019,0.0,93,0.0,0.0,0.0,468,30.9829,64.1026,8.7607,20.7265,nyc
180,132101060011,13210106nyc,13nyc,2021,0.0,67,0.32,0.0,0.64,9,44.4444,22.2222,22.2222,33.3333,nyc
181,132101060015,13210106nyc,13nyc,2017,0.0,94,0.0,0.0,0.0,514,17.8988,79.1829,5.642,8.9494,nyc
182,132101060015,13210106nyc,13nyc,2018,0.0,89,0.0,0.0,0.0,516,19.5736,74.2248,7.3643,11.8217,nyc
183,132101060015,13210106nyc,13nyc,2019,0.0,93,0.0,0.0,0.0,542,19.7417,76.9373,5.7196,12.1771,nyc
184,132101060015,13210106nyc,13nyc,2021,0.0,100,0.5,0.04,0.92,5,0.0,40.0,40.0,0.0,nyc
188,132201040005,13220104nyc,13nyc,2017,0.0,95,0.0,0.0,0.0,77,27.2727,81.8182,2.5974,9.0909,nyc
189,132201040005,13220104nyc,13nyc,2018,0.0,94,0.0,0.0,0.0,82,23.1707,85.3659,2.439,8.5366,nyc
190,132201040005,13220104nyc,13nyc,2019,0.0,96,0.0,0.0,0.0,72,27.7778,83.3333,2.7778,9.7222,nyc
191,132201040005,13220104nyc,13nyc,2021,0.0,96,0.48,0.0,0.96,26,15.3846,92.3077,0.0,7.6923,nyc
192,140101060006,14010106nyc,14nyc,2017,0.0,98,0.0,0.0,0.0,155,20.0,97.4194,0.6452,0.0,nyc
193,140101060006,14010106nyc,14nyc,2018,0.0,98,0.0,0.0,0.0,125,24.8,98.4,1.6,0.0,nyc
194,140101060006,14010106nyc,14nyc,2019,0.0,97,0.0,0.0,0.0,135,31.8519,95.5556,1.4815,0.7407,nyc
195,140101060006,14010106nyc,14nyc,2021,0.0,0,0.34,0.0,0.68,2,0.0,100.0,0.0,0.0,nyc
196,140201060002,14020106nyc,14nyc,2017,0.0,97,0.0,0.0,0.0,206,26.699,73.7864,11.165,3.8835,nyc
197,140201060002,14020106nyc,14nyc,2018,0.0,90,0.0,0.0,0.0,205,26.8293,70.2439,17.561,3.9024,nyc
198,140201060002,14020106nyc,14nyc,2019,0.0,96,0.0,0.0,0.0,220,37.7273,69.5455,15.9091,4.5455,nyc
199,140201060002,14020106nyc,14nyc,2021,0.0,100,0.46,0.0,0.92,13,30.7692,53.8462,15.3846,7.6923,nyc
200,140203060004,14020306nyc,14nyc,2017,0.0,95,0.0,0.0,0.0,294,18.3673,77.8912,5.7823,4.4218,nyc
201,140203060004,14020306nyc,14nyc,2018,0.0,90,0.0,0.0,0.0,230,18.6957,75.6522,6.087,6.9565,nyc
202,140203060004,14020306nyc,14nyc,2019,0.0,94,0.0,0.0,0.0,236,17.3729,77.9661,6.7797,5.9322,nyc
203,140203060004,14020306nyc,14nyc,2021,0.0,85,0.34,0.0,0.68,20,20.0,80.0,5.0,5.0,nyc
