,schoolcode,districtcode,countycode,year,charter,mathpass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,state
171,141604060008,6newyork,08newyork,2017,0.0,91.0,0.0,0.0,0.0,269,37.9182,89.2193,0.7435,5.2045,newyork
172,141701040001,4newyork,01newyork,2017,0.0,96.0,0.0,0.0,0.0,83,28.9157,100.0,0.0,0.0,newyork
173,141800010008,1newyork,08newyork,2017,0.0,59.0,0.0,0.0,0.0,216,87.5,68.9815,15.2778,12.963,newyork
175,142101040002,4newyork,02newyork,2017,0.0,96.0,0.0,0.0,0.0,97,34.0206,89.6907,0.0,1.0309,newyork
176,142601030025,3newyork,25newyork,2017,0.0,89.0,0.0,0.0,0.0,262,38.1679,84.3511,6.8702,3.8168,newyork
177,142201040001,4newyork,01newyork,2017,0.0,97.0,0.0,0.0,0.0,36,33.3333,94.4444,0.0,5.5556,newyork
178,142301060006,6newyork,06newyork,2017,0.0,96.0,0.0,0.0,0.0,330,15.1515,93.3333,1.5152,1.8182,newyork
179,142500010009,1newyork,09newyork,2017,0.0,85.0,0.0,0.0,0.0,155,48.3871,91.6129,0.6452,4.5161,newyork
180,142601030026,3newyork,26newyork,2017,0.0,83.0,0.0,0.0,0.0,342,42.9825,77.7778,7.3099,7.0175,newyork
182,142801060010,6newyork,10newyork,2017,0.0,85.0,0.0,0.0,0.0,272,38.9706,89.3382,2.2059,4.4118,newyork
183,142801060016,6newyork,16newyork,2017,0.0,85.0,0.0,0.0,0.0,155,47.0968,85.8065,7.0968,3.2258,newyork
184,150203040001,4newyork,01newyork,2017,0.0,75.0,0.0,0.0,0.0,29,62.069,100.0,0.0,0.0,newyork
185,150601040001,4newyork,01newyork,2017,0.0,100.0,0.0,0.0,0.0,13,38.4615,100.0,0.0,0.0,newyork
186,150801040001,4newyork,01newyork,2017,0.0,88.0,0.0,0.0,0.0,8,62.5,100.0,0.0,0.0,newyork
187,150901040004,4newyork,04newyork,2017,0.0,90.0,0.0,0.0,0.0,57,47.3684,94.7368,1.7544,3.5088,newyork
188,151001040001,4newyork,01newyork,2017,0.0,90.0,0.0,0.0,0.0,10,50.0,90.0,0.0,10.0,newyork
189,151102040001,4newyork,01newyork,2017,0.0,81.0,0.0,0.0,0.0,59,32.2034,93.2203,1.6949,1.6949,newyork
190,151401040001,4newyork,01newyork,2017,0.0,77.0,0.0,0.0,0.0,26,42.3077,100.0,0.0,0.0,newyork
191,151501060001,6newyork,01newyork,2017,0.0,99.0,0.0,0.0,0.0,53,43.3962,94.3396,1.8868,0.0,newyork
192,151701040001,4newyork,01newyork,2017,0.0,96.0,0.0,0.0,0.0,19,52.6316,94.7368,0.0,0.0,newyork
193,160101060001,6newyork,01newyork,2017,0.0,76.0,0.0,0.0,0.0,56,35.7143,96.4286,0.0,1.7857,newyork
194,160801040002,4newyork,02newyork,2017,0.0,94.0,0.0,0.0,0.0,43,32.5581,97.6744,0.0,0.0,newyork
195,161201040002,4newyork,02newyork,2017,0.0,94.0,0.0,0.0,0.0,126,73.0159,37.3016,0.0,0.0,newyork
196,161401060002,6newyork,02newyork,2017,0.0,85.0,0.0,0.0,0.0,92,36.9565,98.913,0.0,1.087,newyork
197,161501060014,6newyork,14newyork,2017,0.0,73.0,0.0,0.0,0.0,170,60.5882,95.2941,1.1765,0.5882,newyork
198,161601040002,4newyork,02newyork,2017,0.0,75.0,0.0,0.0,0.0,55,54.5455,98.1818,0.0,0.0,newyork
199,161801040001,4newyork,01newyork,2017,0.0,95.0,0.0,0.0,0.0,20,70.0,95.0,0.0,0.0,newyork
200,170500010008,1newyork,08newyork,2017,0.0,97.0,0.0,0.0,0.0,28,32.1429,85.7143,3.5714,7.1429,newyork
201,170500010009,1newyork,09newyork,2017,0.0,55.0,0.0,0.0,0.0,300,58.6667,86.3333,6.6667,3.6667,newyork
202,170600010006,1newyork,06newyork,2017,0.0,69.0,0.0,0.0,0.0,142,47.8873,92.2535,1.4085,3.5211,newyork
203,170801040002,4newyork,02newyork,2017,0.0,90.0,0.0,0.0,0.0,76,38.1579,97.3684,1.3158,1.3158,newyork
204,170901040001,4newyork,01newyork,2017,0.0,95.0,0.0,0.0,0.0,41,53.6585,97.561,0.0,2.439,newyork
205,171102040004,4newyork,04newyork,2017,0.0,97.0,0.0,0.0,0.0,130,50.7692,96.9231,2.3077,0.7692,newyork
206,180202040003,4newyork,03newyork,2017,0.0,95.0,0.0,0.0,0.0,78,37.1795,93.5897,5.1282,0.0,newyork
207,180300010006,1newyork,06newyork,2017,0.0,80.0,0.0,0.0,0.0,163,57.0552,76.6871,8.589,9.2025,newyork
208,180701040001,4newyork,01newyork,2017,0.0,87.0,0.0,0.0,0.0,87,34.4828,89.6552,3.4483,2.2989,newyork
209,180901040002,4newyork,02newyork,2017,0.0,99.0,0.0,0.0,0.0,22,45.4545,86.3636,0.0,13.6364,newyork
210,181001060002,6newyork,02newyork,2017,0.0,95.0,0.0,0.0,0.0,110,26.3636,90.9091,1.8182,4.5455,newyork
211,181101040001,4newyork,01newyork,2017,0.0,99.0,0.0,0.0,0.0,57,56.1404,91.2281,3.5088,5.2632,newyork
212,181201040001,4newyork,01newyork,2017,0.0,80.0,0.0,0.0,0.0,57,50.8772,94.7368,1.7544,3.5088,newyork
213,181302040002,4newyork,02newyork,2017,0.0,100.0,0.0,0.0,0.0,95,40.0,90.5263,3.1579,3.1579,newyork
214,190301040003,4newyork,03newyork,2017,0.0,91.0,0.0,0.0,0.0,93,53.7634,75.2688,3.2258,9.6774,newyork
215,190401060003,6newyork,03newyork,2017,0.0,83.0,0.0,0.0,0.0,118,57.6271,69.4915,10.1695,13.5593,newyork
216,190501040001,4newyork,01newyork,2017,0.0,76.0,0.0,0.0,0.0,112,47.3214,79.4643,11.6071,7.1429,newyork
217,190701040004,4newyork,04newyork,2017,0.0,76.0,0.0,0.0,0.0,86,38.3721,93.0233,3.4884,2.3256,newyork
