,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totaltested,lowincome,white,black,hispanic,asian,state,countycode,districtcode
3937,057905047tx,2016,0.0,83.33,0.0,0.0,0,48,83.33,8.3333,6.25,77.0833,6.25,tx,057tx,057905tx
3938,057905047tx,2017,0.0,80.0,0.0,0.0,0,45,77.78,22.2222,8.8889,66.6667,2.2222,tx,057tx,057905tx
3939,057905047tx,2018,0.0,93.75,0.0,0.0,0,48,72.92,8.3333,25.0,64.5833,0.0,tx,057tx,057905tx
3940,057905047tx,2019,0.0,95.77,0.0,0.0,0,71,38.03,9.8592,15.493,69.0141,4.2254,tx,057tx,057905tx
3941,057905047tx,2021,0.0,66.67,0.0,0.0,0,120,55.83,9.1667,17.5,70.8333,0.8333,tx,057tx,057905tx
3942,057905048tx,2015,0.0,79.25,0.0,0.0,0,53,92.45,3.7736,11.3208,84.9057,0.0,tx,057tx,057905tx
3943,057905048tx,2016,0.0,96.3,0.0,0.0,0,27,81.48,3.7037,11.1111,85.1852,0.0,tx,057tx,057905tx
3944,057905048tx,2017,0.0,100.0,0.0,0.0,0,23,95.65,0.0,0.0,95.6522,0.0,tx,057tx,057905tx
3945,057905048tx,2018,0.0,97.62,0.0,0.0,0,42,85.71,2.381,16.6667,78.5714,2.381,tx,057tx,057905tx
3946,057905048tx,2019,0.0,97.22,0.0,0.0,0,36,47.22,2.7778,8.3333,88.8889,0.0,tx,057tx,057905tx
3947,057905048tx,2021,0.0,37.1,0.0,0.0,0,62,45.16,3.2258,8.0645,88.7097,0.0,tx,057tx,057905tx
3948,057905049tx,2015,0.0,95.09,0.0,0.0,0,163,82.21,3.681,12.2699,82.8221,0.6135,tx,057tx,057905tx
3949,057905049tx,2016,0.0,100.0,0.0,0.0,0,139,80.58,5.036,15.8273,78.4173,0.7194,tx,057tx,057905tx
3950,057905049tx,2017,0.0,96.17,0.0,0.0,0,183,86.89,2.1858,13.1148,84.153,0.0,tx,057tx,057905tx
3951,057905049tx,2018,0.0,93.93,0.0,0.0,0,214,84.58,3.7383,10.7477,83.6449,1.4019,tx,057tx,057905tx
3952,057905049tx,2019,0.0,99.46,0.0,0.0,0,184,41.85,3.2609,9.7826,85.8696,0.0,tx,057tx,057905tx
3953,057905049tx,2021,0.0,59.8,0.0,0.0,0,199,47.74,3.0151,9.0452,86.4322,0.0,tx,057tx,057905tx
3954,057905050tx,2015,0.0,57.69,0.0,0.0,0,52,84.62,9.6154,9.6154,80.7692,0.0,tx,057tx,057905tx
3955,057905050tx,2016,0.0,56.67,0.0,0.0,0,60,86.67,5.0,13.3333,78.3333,1.6667,tx,057tx,057905tx
3956,057905050tx,2017,0.0,77.42,0.0,0.0,0,62,79.03,8.0645,8.0645,77.4194,4.8387,tx,057tx,057905tx
3957,057905050tx,2018,0.0,100.0,0.0,0.0,0,53,77.36,5.6604,0.0,88.6792,1.8868,tx,057tx,057905tx
3958,057905050tx,2019,0.0,97.96,0.0,0.0,0,49,42.86,4.0816,8.1633,81.6327,6.1224,tx,057tx,057905tx
3959,057905050tx,2021,0.0,34.62,0.0,0.0,0,104,46.15,10.5769,4.8077,77.8846,4.8077,tx,057tx,057905tx
3960,057905051tx,2015,0.0,48.72,0.0,0.0,0,39,89.74,0.0,56.4103,43.5897,0.0,tx,057tx,057905tx
3961,057905051tx,2016,0.0,38.89,0.0,0.0,0,54,96.3,1.8519,53.7037,42.5926,0.0,tx,057tx,057905tx
3962,057905051tx,2017,0.0,75.0,0.0,0.0,0,28,92.86,0.0,64.2857,35.7143,0.0,tx,057tx,057905tx
3963,057905051tx,2018,0.0,72.22,0.0,0.0,0,36,97.22,2.7778,55.5556,38.8889,0.0,tx,057tx,057905tx
3964,057905051tx,2019,0.0,93.55,0.0,0.0,0,31,77.42,3.2258,58.0645,38.7097,0.0,tx,057tx,057905tx
3965,057905051tx,2021,0.0,60.87,0.0,0.0,0,46,69.57,2.1739,60.8696,36.9565,0.0,tx,057tx,057905tx
3966,057905052tx,2015,0.0,87.21,0.0,0.0,0,86,95.35,0.0,8.1395,91.8605,0.0,tx,057tx,057905tx
3967,057905052tx,2016,0.0,77.11,0.0,0.0,0,83,91.57,1.2048,14.4578,84.3373,0.0,tx,057tx,057905tx
3968,057905052tx,2017,0.0,85.71,0.0,0.0,0,49,97.96,0.0,4.0816,93.8776,2.0408,tx,057tx,057905tx
3969,057905052tx,2018,0.0,88.57,0.0,0.0,0,35,100.0,2.8571,2.8571,94.2857,0.0,tx,057tx,057905tx
3970,057905052tx,2019,0.0,93.62,0.0,0.0,0,47,55.32,0.0,8.5106,91.4894,0.0,tx,057tx,057905tx
3971,057905052tx,2021,0.0,28.57,0.0,0.0,0,140,60.0,0.0,10.0,90.0,0.0,tx,057tx,057905tx
3972,057905053tx,2015,0.0,95.51,0.0,0.0,0,89,37.08,58.427,2.2472,38.2022,1.1236,tx,057tx,057905tx
3973,057905053tx,2016,0.0,99.08,0.0,0.0,0,109,33.03,59.633,1.8349,32.1101,2.7523,tx,057tx,057905tx
3974,057905053tx,2017,0.0,98.08,0.0,0.0,0,104,29.81,64.4231,1.9231,31.7308,1.9231,tx,057tx,057905tx
3975,057905053tx,2018,0.0,97.37,0.0,0.0,0,152,34.87,51.3158,3.9474,39.4737,1.3158,tx,057tx,057905tx
3976,057905053tx,2019,0.0,99.24,0.0,0.0,0,132,12.12,58.3333,6.0606,27.2727,3.0303,tx,057tx,057905tx
3977,057905053tx,2021,0.0,60.23,0.0,0.0,0,171,12.87,47.9532,5.2632,40.3509,1.7544,tx,057tx,057905tx
3978,057905054tx,2015,0.0,53.85,0.0,0.0,0,78,71.79,17.9487,2.5641,74.359,2.5641,tx,057tx,057905tx
3979,057905054tx,2016,0.0,79.37,0.0,0.0,0,63,79.37,11.1111,4.7619,82.5397,1.5873,tx,057tx,057905tx
3980,057905054tx,2017,0.0,70.18,0.0,0.0,0,57,84.21,5.2632,0.0,91.2281,1.7544,tx,057tx,057905tx
3981,057905054tx,2018,0.0,78.79,0.0,0.0,0,66,87.88,6.0606,3.0303,89.3939,1.5152,tx,057tx,057905tx
3982,057905054tx,2019,0.0,91.58,0.0,0.0,0,95,54.74,3.1579,4.2105,88.4211,2.1053,tx,057tx,057905tx
3983,057905054tx,2021,0.0,31.86,0.0,0.0,0,226,50.0,1.3274,4.4248,92.4779,0.4425,tx,057tx,057905tx
3984,057905055tx,2015,0.0,22.37,0.0,0.0,0,76,89.47,0.0,21.0526,68.4211,9.2105,tx,057tx,057905tx
3985,057905055tx,2016,0.0,48.15,0.0,0.0,0,54,92.59,3.7037,22.2222,72.2222,1.8519,tx,057tx,057905tx
3986,057905055tx,2017,0.0,48.78,0.0,0.0,0,41,92.68,2.439,7.3171,78.0488,9.7561,tx,057tx,057905tx
3987,057905055tx,2018,0.0,95.24,0.0,0.0,0,21,80.95,0.0,14.2857,80.9524,0.0,tx,057tx,057905tx
3988,057905055tx,2019,0.0,100.0,0.0,0.0,0,33,57.58,0.0,21.2121,75.7576,3.0303,tx,057tx,057905tx
3989,057905055tx,2021,0.0,57.14,0.0,0.0,0,35,65.71,2.8571,14.2857,82.8571,0.0,tx,057tx,057905tx
3990,057905056tx,2015,0.0,79.31,0.0,0.0,0,58,77.59,12.069,18.9655,62.069,5.1724,tx,057tx,057905tx
3991,057905056tx,2016,0.0,74.07,0.0,0.0,0,54,62.96,14.8148,20.3704,55.5556,5.5556,tx,057tx,057905tx
3992,057905056tx,2017,0.0,90.62,0.0,0.0,0,64,79.69,4.6875,14.0625,70.3125,7.8125,tx,057tx,057905tx
3993,057905056tx,2018,0.0,87.8,0.0,0.0,0,41,70.73,14.6341,14.6341,68.2927,0.0,tx,057tx,057905tx
3994,057905056tx,2019,0.0,83.93,0.0,0.0,0,56,48.21,8.9286,17.8571,73.2143,0.0,tx,057tx,057905tx
3995,057905056tx,2021,0.0,33.64,0.0,0.0,0,214,51.87,6.0748,22.4299,67.757,1.4019,tx,057tx,057905tx
3996,057905058tx,2015,0.0,80.2,0.0,0.0,0,101,79.21,7.9208,17.8218,64.3564,5.9406,tx,057tx,057905tx
3997,057905058tx,2016,0.0,83.65,0.0,0.0,0,104,77.88,7.6923,15.3846,70.1923,4.8077,tx,057tx,057905tx
3998,057905058tx,2017,0.0,87.13,0.0,0.0,0,101,87.13,4.9505,12.8713,80.198,0.9901,tx,057tx,057905tx
