,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totaltested,lowincome,white,black,hispanic,asian,state,countycode,districtcode
100,003905041,2019,0.0,100.0,0.0,0.0,0,23,30.43,65.2174,0.0,34.7826,0.0,texas,003texas,905041texas
101,003905041,2021,0.0,80.77,0.0,0.0,0,26,34.62,30.7692,15.3846,50.0,3.8462,texas,003texas,905041texas
102,003906001,2015,0.0,45.45,0.0,0.0,0,33,57.58,87.8788,3.0303,6.0606,0.0,texas,003texas,906001texas
103,003906001,2016,0.0,21.43,0.0,0.0,0,28,67.86,78.5714,0.0,10.7143,0.0,texas,003texas,906001texas
104,003906001,2017,0.0,20.69,0.0,0.0,0,29,48.28,93.1034,0.0,6.8966,0.0,texas,003texas,906001texas
105,003906001,2018,0.0,24.32,0.0,0.0,0,37,62.16,94.5946,2.7027,0.0,0.0,texas,003texas,906001texas
106,003906001,2019,0.0,52.17,0.0,0.0,0,23,60.87,91.3043,0.0,4.3478,0.0,texas,003texas,906001texas
107,003906001,2021,0.0,66.67,0.0,0.0,0,12,58.33,91.6667,0.0,8.3333,0.0,texas,003texas,906001texas
108,003907001,2015,0.0,31.63,0.0,0.0,0,98,44.9,73.4694,6.1224,20.4082,0.0,texas,003texas,907001texas
109,003907001,2016,0.0,24.71,0.0,0.0,0,85,54.12,67.0588,3.5294,24.7059,0.0,texas,003texas,907001texas
110,003907001,2017,0.0,31.58,0.0,0.0,0,95,51.58,81.0526,6.3158,11.5789,0.0,texas,003texas,907001texas
111,003907001,2018,0.0,23.91,0.0,0.0,0,92,55.43,70.6522,3.2609,23.913,0.0,texas,003texas,907001texas
112,003907001,2019,0.0,68.29,0.0,0.0,0,82,58.54,76.8293,6.0976,14.6341,0.0,texas,003texas,907001texas
113,003907001,2021,0.0,25.88,0.0,0.0,0,85,62.35,63.5294,5.8824,25.8824,0.0,texas,003texas,907001texas
114,003907041,2015,0.0,94.12,0.0,0.0,0,17,11.76,88.2353,0.0,11.7647,0.0,texas,003texas,907041texas
115,003907041,2016,0.0,84.0,0.0,0.0,0,25,36.0,84.0,0.0,8.0,0.0,texas,003texas,907041texas
116,003907041,2017,0.0,95.24,0.0,0.0,0,21,47.62,66.6667,0.0,28.5714,0.0,texas,003texas,907041texas
117,003907041,2018,0.0,62.5,0.0,0.0,0,16,50.0,62.5,0.0,37.5,0.0,texas,003texas,907041texas
118,003907041,2019,0.0,100.0,0.0,0.0,0,12,16.67,91.6667,0.0,8.3333,0.0,texas,003texas,907041texas
119,003907041,2021,0.0,95.83,0.0,0.0,0,24,45.83,70.8333,0.0,29.1667,0.0,texas,003texas,907041texas
120,004901001,2015,0.0,34.29,0.0,0.0,0,210,53.33,55.7143,1.4286,40.9524,1.4286,texas,004texas,901001texas
121,004901001,2016,0.0,34.88,0.0,0.0,0,215,54.42,49.3023,2.7907,42.3256,2.3256,texas,004texas,901001texas
122,004901001,2017,0.0,48.21,0.0,0.0,0,251,58.57,51.7928,1.992,43.0279,0.7968,texas,004texas,901001texas
123,004901001,2018,0.0,57.41,0.0,0.0,0,162,96.3,50.0,2.4691,43.2099,1.8519,texas,004texas,901001texas
124,004901001,2019,0.0,71.43,0.0,0.0,0,231,62.34,49.7835,1.7316,44.1558,2.1645,texas,004texas,901001texas
125,004901001,2021,0.0,31.16,0.0,0.0,0,199,69.35,57.2864,1.005,38.6935,1.005,texas,004texas,901001texas
126,004901041,2015,0.0,91.11,0.0,0.0,0,45,15.56,77.7778,0.0,11.1111,6.6667,texas,004texas,901041texas
127,004901041,2016,0.0,96.77,0.0,0.0,0,31,25.81,61.2903,0.0,32.2581,0.0,texas,004texas,901041texas
128,004901041,2017,0.0,100.0,0.0,0.0,0,36,27.78,47.2222,2.7778,38.8889,11.1111,texas,004texas,901041texas
129,004901041,2018,0.0,100.0,0.0,0.0,0,21,95.24,71.4286,0.0,28.5714,0.0,texas,004texas,901041texas
130,004901041,2019,0.0,100.0,0.0,0.0,0,29,41.38,72.4138,0.0,24.1379,3.4483,texas,004texas,901041texas
131,004901041,2021,0.0,100.0,0.0,0.0,0,18,27.78,44.4444,0.0,27.7778,16.6667,texas,004texas,901041texas
132,005901001,2015,0.0,45.71,0.0,0.0,0,35,20.0,91.4286,0.0,2.8571,0.0,texas,005texas,901001texas
133,005901001,2016,0.0,55.56,0.0,0.0,0,27,22.22,85.1852,0.0,11.1111,0.0,texas,005texas,901001texas
134,005901001,2017,0.0,44.12,0.0,0.0,0,34,26.47,79.4118,0.0,8.8235,0.0,texas,005texas,901001texas
135,005901001,2018,0.0,53.85,0.0,0.0,0,39,35.9,84.6154,0.0,12.8205,0.0,texas,005texas,901001texas
136,005901001,2019,0.0,56.86,0.0,0.0,0,51,37.25,82.3529,1.9608,15.6863,0.0,texas,005texas,901001texas
137,005901001,2021,0.0,40.0,0.0,0.0,0,40,45.0,72.5,5.0,15.0,0.0,texas,005texas,901001texas
138,005902001,2015,0.0,41.67,0.0,0.0,0,48,20.83,95.8333,0.0,4.1667,0.0,texas,005texas,902001texas
139,005902001,2016,0.0,61.54,0.0,0.0,0,52,9.62,82.6923,3.8462,11.5385,0.0,texas,005texas,902001texas
140,005902001,2017,0.0,63.16,0.0,0.0,0,57,24.56,89.4737,0.0,8.7719,0.0,texas,005texas,902001texas
141,005902001,2018,0.0,70.69,0.0,0.0,0,58,25.86,82.7586,0.0,13.7931,0.0,texas,005texas,902001texas
142,005902001,2019,0.0,81.36,0.0,0.0,0,59,13.56,88.1356,1.6949,8.4746,0.0,texas,005texas,902001texas
